proteinA;proteinB
P06243;Q12094
P38147;Q04839
P38150;P39110
P24869;P20486
Q04149;P24869
Q04031;P24869
P24869;P38769
P47074;P13365
P25296;Q03652
P33313;Q00947
P33308;Q12343
P35203;Q08831
P32582;P25651
P32459;P32459
P21705;P21705
P53267;P53168
P53550;Q12517
P39998;P53550
Q12517;P39517
P19735;Q06819
Q03063;Q03373
P40013;P53168
Q12248;P53168
Q03466;Q12517
Q04739;Q03466
P40958;Q03466
P38236;Q03466
Q02794;Q03466
Q03761;O13547
P38122;P38122
P17214;P53091
P35210;P17214
P23202;P17214
P17214;P39734
P17214;P53288
P32829;P53971
Q06628;P18562
P38930;P32805
Q04177;Q03778
P51601;P51601
P38196;P40016
P16522;Q04601
P26449;Q12063
P47069;P17214
P12383;P32494
P46677;P53040
P07703;P22138
Q06549;Q06549
P29366;P32917
P47124;P50108
Q12440;P53886
P48232;Q06628
P24869;P53724
Q99210;P47160
P33304;Q12280
P53038;P06243
P50108;P46985
Q02775;P33411
P39010;Q12280
Q12030;P35189
P32797;P38960
Q12018;Q12452
P53971;P36068
P03069;P32569
P14724;P53068
P41697;P33199
Q03697;P17214
P25441;P33339
P52553;Q04493
Q08273;P40560
Q03231;P38853
Q06159;Q99316
Q12753;P52918
P16861;P50102
P47042;P39685
P32337;P38910
P39938;Q06672
P53230;P32259
P47135;P36131
P47822;Q12343
P38302;Q12309
Q04226;Q12030
P38987;P22209
P33296;P23641
P40959;P38247
P40480;P38262
P23292;Q03220
P23292;P41913
Q04893;P13902
P41913;P53115
P06100;P32334
P28239;P14741
P24280;Q03441
Q04048;P38302
Q05027;Q04226
P15315;Q04233
P32805;P33339
P14741;P14741
Q04839;P32505
P47011;P47011
P05085;P17709
P38224;P17709
P43577;P41911
P39676;P46944
P32836;P47123
Q00582;Q00582
P42944;P53973
P06774;P13434
Q02516;P06774
P13434;Q02516
Q12306;P32828
P40106;Q08956
P12954;P41913
Q12306;P12954
P12954;P38957
P32505;P12954
P32505;Q99383
P38872;P29295
Q08273;P14680
P39533;Q08273
P38262;Q99181
P32432;P53687
P47069;Q12692
P41833;P38236
P36000;P13902
P13902;P34243
Q04431;P32361
P38236;P25583
P34730;Q12494
Q04396;P36068
Q04087;P25651
P38203;P40089
Q06406;P38203
P38203;P53905
P48240;P38203
P0C0X0;P38203
Q06217;P38203
P38930;P40070
P40070;Q06406
P53905;P40070
O13550;P40070
Q12517;P47093
P32601;P47093
P47093;P40089
Q02197;Q03503
Q06667;P47154
P53769;Q06667
P39938;Q07821
P32645;P00931
P38217;P53755
P38853;Q02794
P47158;P38853
P19262;Q12306
P14904;P14904
P35193;P14904
P34234;P06208
P35718;P33418
Q12517;P38203
P39517;P38203
P38203;P47017
P40070;P47017
P40070;P0C0X0
P47093;P0C0X0
O13550;P47093
P25502;P53237
P23059;Q02197
Q12262;P47167
P32570;Q02574
Q08278;Q12343
P16523;P35719
P40469;Q99278
P38277;P39014
P39014;Q12020
P38346;P39014
P39998;P39014
Q02659;P27705
P43563;Q08206
Q99316;P38714
P35719;P35719
P14741;P32505
P53081;P53081
P32497;P32911
P33420;P40460
P43609;P32832
Q02336;P39081
P39081;Q08685
P25299;P39081
P39081;Q06411
Q12527;P39081
P39081;P17157
P32473;Q06137
P39108;P27796
P35190;P17157
P40038;P17157
P17157;P35497
P19541;Q06651
P24583;P54786
P40460;P32334
P32829;Q12175
Q12175;P40356
P40460;Q12175
P45819;Q12175
P40357;P52918
P08153;P52918
Q08831;P52918
Q12277;P48240
P14904;P39731
P53271;P39731
P32500;Q05166
P40060;Q03435
Q03790;P34077
P34077;P53271
P32497;Q12134
P38696;P33420
P46984;P33420
P33755;P53044
P38910;P32499
P48837;P14907
P48837;Q02199
Q05027;P48837
P39946;Q06568
P25298;P39081
Q06410;P39081
P25693;P08153
P40038;P47029
Q06324;P40038
P38855;P39108
P50091;P39108
Q08966;P17157
P48837;P32337
P39970;P32337
P32337;P40577
Q12163;P35182
P15380;P47029
O13543;P15380
P50623;P25454
Q05024;P25454
Q12251;P25454
P46983;P39083
Q07418;P19263
P39011;Q00246
P32385;P43619
P22139;P15315
P43594;P28000
P32496;Q05610
P0C0X0;P38254
Q07528;P38204
P40992;P32786
P07248;P53043
P21242;P43577
P40302;P36068
P32263;P32263
P21372;P38956
P50623;P19735
P36000;P32337
P19262;P32337
Q12206;P32337
P19541;P32337
P15380;P14908
P15380;P25381
P09032;P06838
P25651;P06838
Q02574;P48581
P14736;P32628
P25454;P39955
Q99401;P25454
P38953;P25454
P29703;P22007
P38729;P39083
P33400;P47043
P21190;P38615
P28000;Q00582
P28000;Q06149
Q06001;P07703
Q03954;Q12250
Q03981;Q12250
Q12377;P03069
P05317;P05318
Q12517;P0C0X0
P53437;P38204
Q12292;P25378
P38838;P53047
P39743;P25343
P38266;P25343
P46946;P46946
P46946;P25651
P32259;P40958
P52286;P24814
Q08446;P52286
Q12347;P52286
P52286;Q05947
P52286;Q05930
Q07589;Q02775
Q12330;P54999
P22035;P32566
P41808;P43568
Q06217;P54999
P06782;P40151
P38149;P32074
P11353;Q01589
P33307;P32259
P32259;P41913
P47074;P32259
P32259;Q02772
P32259;P33203
P00127;P32259
P32259;P53270
P35817;P52286
P07834;P52286
P52286;P39014
P52286;Q06479
P50623;Q12306
P06782;Q04739
P12904;P49017
P12904;Q04739
P12904;Q12310
P43545;Q03144
P22209;Q00916
Q00723;Q12368
Q03954;P40460
Q03954;P36131
P33757;P53541
P23179;Q02793
P25651;P17123
P23624;P38872
P32458;Q04921
O13329;P06843
P53091;P06843
P32585;P38304
Q08278;P47822
Q12020;Q12020
P22768;Q02821
Q02821;P00812
Q02821;P33317
P06106;Q02821
P53081;Q02821
Q02821;P19881
P36068;Q02821
P35497;Q02821
P41835;Q02821
Q02821;P34760
P38749;Q02821
P53215;Q02821
Q05016;Q02821
P32916;Q03824
P38871;P38871
P13574;Q03373
P47122;P39015
P37297;P41913
Q02794;P37297
Q04175;Q03900
Q08229;Q04175
Q01722;Q12181
P33327;Q12181
Q12181;P41913
Q12181;Q12321
P38987;Q03063
P38987;Q03973
P38910;P38987
P38987;P32906
P33754;P38987
P38987;P54999
P35497;P38987
P38987;Q12206
P25652;P38987
P38884;P38987
P47115;P38987
P38987;Q06410
P40151;P38987
P38987;Q08931
P36145;P36100
P32776;P36100
P32776;P14904
P32776;P53271
P32776;P35193
P32318;P32318
P41835;P41835
P43577;Q04067
Q05024;P04786
P15315;Q07824
P52871;P31688
Q03337;P36149
P35193;Q99394
Q99395;P33296
P50623;P50623
P39944;P38080
Q99344;Q12059
P41913;P39001
P39001;P35193
P38130;P32912
Q06245;P32912
P32912;P39723
P32912;Q12241
P53108;P32912
P32912;P53845
P32912;P14359
Q06410;P32912
P32912;Q04767
Q12016;P32912
Q08743;P32912
P15315;P34110
P52917;P39929
P53112;Q12215
P22149;P19880
P38123;P39706
P39551;P38316
P25623;P39551
P32912;Q12270
P32912;P32939
P38784;P32366
Q03323;P38784
P32913;Q92331
P38753;P40343
Q06696;Q12483
Q03768;P39729
P39706;Q03920
P38067;P02400
P38278;Q06385
Q12309;P38303
P38324;Q12098
P38346;Q12309
P38346;P14741
P40485;P38346
P23292;P25371
P23292;P25582
P23292;P40052
P36041;P23292
P25293;P25389
P12904;P25575
P47976;Q12489
P41913;Q12489
P43619;Q12489
P38767;Q12489
P38842;Q12489
P40366;Q12489
Q07395;P26321
Q12159;Q07395
Q07438;P43577
Q04004;Q07438
Q07438;P39977
Q07438;P40326
Q03435;P53115
P40958;P32334
P39685;Q03790
P48813;Q02774
P38771;P38987
P38067;P36103
P40485;Q02784
P40079;Q06631
P32570;Q99278
P17157;P53124
P43588;Q08723
Q03533;P12904
Q03337;P38334
P22149;Q03835
Q06667;Q08492
P32805;P50113
P32500;Q03790
P25693;P17157
Q06708;P38624
P06104;P10862
P38987;Q05871
P27515;Q12084
Q04048;P53277
P09032;Q02866
P53835;P13902
P25586;P53091
P39014;P32906
P32567;P35719
P39731;Q02199
P40164;P17157
P35497;P32337
P35203;P52286
Q02821;Q12178
P21374;Q04048
Q04226;Q03973
P53040;Q04839
P38987;P39998
P32912;P46679
P23292;P28239
P32828;P40072
P0C0X0;Q06667
Q08962;P32334
P14682;P32259
P38987;O13329
P52920;P38278
P32363;Q12240
P34253;P53074
P32564;P53333
P38883;Q06410
Q03944;Q06001
P38816;Q05930
P14741;Q03525
Q06096;P38784
P36116;P38806
Q12174;P25559
P11076;P32074
P14693;Q03954
P38305;Q06525
P38784;P39111
Q00582;P38822
Q07438;P53899
P43634;Q07458
Q12066;Q12066
Q06169;Q12066
Q08492;Q12513
P25502;Q12513
Q12516;Q03441
P36087;Q12342
Q08887;Q07622
Q12468;Q04368
P43634;Q07732
Q12411;Q07732
P38871;Q07732
Q03406;Q12488
Q12457;O13329
Q99288;Q99288
P43577;Q12497
P40892;Q03900
Q03944;P46671
Q05518;Q03559
Q12298;P25651
Q12156;P53069
P53108;P38962
P35719;Q04598
Q04491;Q03897
P38861;Q03900
Q03981;Q04368
Q03944;P53917
P40958;Q12449
P36120;Q12240
P35718;Q12508
Q05583;P38829
Q12338;Q05635
P89886;Q06681
Q04179;P25637
Q03375;P12962
P53189;Q03375
Q03406;P43615
P53087;Q06672
P32837;P53074
P53074;Q12412
P22035;P53066
P53210;P32432
P53210;Q08001
P53215;P53215
P32485;P53238
P53238;P53238
P53238;P53281
P53244;P43639
P38166;P53244
P53717;P38753
P38751;P53973
P38957;P38751
P38744;P38744
P38763;P53717
Q03373;P38694
P38888;P14120
P40554;P38820
P40485;P36068
P40465;Q12318
P47095;P47095
P47122;Q08726
P47168;P36097
P46671;P52553
Q02457;P36075
Q03981;P36144
P36168;P34217
Q12358;Q12358
Q12525;P50861
Q12253;P38751
P14693;P53934
Q12013;P38815
P38815;P38130
P53108;P38815
P53845;P38815
Q12270;P38815
P38820;P38820
P38888;P40078
P38872;P40555
P40552;P28519
P40515;P47135
P32350;P40479
Q00772;P40479
P40465;Q06168
P54861;P47025
P28320;Q04048
P23202;P28320
P36108;Q04477
P36075;P53215
P28708;P48361
P28708;Q06010
P38247;Q02205
P15315;Q02209
P36118;P32788
P36162;P35734
Q07887;P53755
Q03323;P43132
Q12142;Q99382
Q06137;P48240
Q06137;Q06168
Q05930;P46972
P38796;Q05930
Q05930;P47049
Q04659;Q05930
Q05930;Q06813
P47135;P18634
P53271;Q06410
Q04779;P25351
P35734;Q04272
Q03177;P40151
P36010;P36010
P41913;P40164
Q02794;P40164
P40151;P40958
Q02196;P42843
P53729;P47038
P40366;P53729
Q12285;Q12118
P53935;P36083
P53892;P53935
Q99395;P53935
Q08817;P35193
Q08931;Q08931
Q03231;Q06096
P15274;O13558
P00358;Q04978
Q04638;P38956
P52286;Q04511
Q07834;Q03208
Q04368;P39008
P40485;Q04749
Q04177;Q04305
P35719;Q03649
P40151;P40151
Q12052;P40342
P53271;P53726
P53755;P53754
Q08204;Q04477
Q08229;P53939
Q08241;P54999
P39923;Q12242
P40325;Q12242
P53949;P50946
P35727;P48232
P41913;P53935
Q12044;P15315
P25651;Q08729
P53238;Q08729
P38692;Q08817
P53271;Q08817
P38784;Q02725
Q08968;P53044
P53112;Q06096
Q06096;P53271
Q06096;P33891
Q06096;Q06162
Q06096;Q12125
P47821;P53933
P53933;P39721
P35727;P53921
P53917;Q00246
P53917;P31383
P53897;P21192
P53887;P25611
P41920;P25293
P32790;P32793
P32793;P40325
Q06102;P38130
P20107;P35719
P38194;P32478
P32478;P38240
Q00246;Q12434
Q12306;Q12306
P40089;Q06406
P40089;P53905
P43545;P43545
Q02260;P34234
P40325;P40325
P40892;P40892
P32854;P38555
P38555;P36125
P38555;P40955
Q08931;P38555
Q04839;P32793
P53311;P32793
Q06102;P45976
P34162;P38208
P38182;P40344
P38272;P38272
P34162;P33754
P38334;P34162
P38334;P36149
Q12248;P36131
Q12084;Q12084
P36131;P53168
P47115;P47115
P36068;P36068
P36162;Q03954
P39929;P39929
P47821;O13554
Q12318;P38957
Q02205;Q00582
P53108;P32854
Q99210;Q99210
P25451;P25605
P25584;Q12082
P50945;P25584
P32478;Q12264
Q12138;Q12513
Q12138;P06100
Q03835;P53082
Q03860;Q03860
P53108;Q03860
P22804;Q03860
P32854;Q03860
P53738;Q03920
P50106;P32529
Q12030;P11747
Q03973;P11747
P53633;Q03322
Q04110;Q12306
P53168;P00128
P39996;P39996
P39979;P39979
P40092;P25591
Q92317;P40096
Q12223;P43545
P53269;P18852
P25357;P53039
P38742;P25559
P36129;P38727
P38726;Q02204
P32564;Q12223
P32914;P06838
Q03322;P53039
P53108;P53039
P53039;P53845
P42941;P34238
P25559;P38782
P25559;P39111
P38784;P26343
P38821;P38821
P38204;P38886
P38191;P13517
P40518;P33204
P38204;P40461
P40582;P40582
P40857;P40582
P46962;P46963
P25591;P47053
P47038;P39515
P25591;P26755
P53168;P46988
P39534;P39534
O13530;P39534
P32529;P47150
P32583;P36103
Q05874;P35691
Q00873;Q05874
P36053;P32859
Q04231;Q12336
Q12138;Q07914
P07272;P07272
Q07986;P36147
Q05874;Q12026
Q12035;Q99176
P54837;Q12327
P49166;P38871
O13553;P53910
Q04868;Q06177
P53845;P53633
P42884;P42884
P17123;Q12208
P17123;P18562
Q05583;P17123
P38713;P17123
Q07930;P17123
P40020;P17123
P46995;P17123
Q06525;P17123
Q03818;Q03818
Q04338;P32854
Q06651;P53633
P53633;P53039
P04050;P08518
P20435;P08518
P04050;P20435
P04050;P20436
P38902;P04050
P08518;P27999
P16370;P08518
P16370;P40422
P06104;P02293
P14164;P15790
P43639;P14164
P32599;P15891
P32790;P15891
P33338;P15891
Q02336;Q12433
P34162;Q02336
P32569;Q02336
Q02336;P47822
P46677;Q02336
Q05027;Q02336
P53040;Q02336
P50875;Q02336
P41546;Q02336
P06844;Q02336
P35177;Q02336
P40413;P53904
P47124;P32629
P46985;P32629
Q12440;Q12157
Q08273;Q12440
P46672;P00958
P33418;P46672
P46655;P46672
P11076;P20133
P11076;P39524
P38328;P32381
P39013;P32381
P32381;Q12446
P36006;P32381
Q02821;P32381
Q06681;P40485
P40465;O13554
P38987;P36018
P38962;P53093
P53093;P53108
Q06178;Q06178
P53169;P49687
P17123;Q02574
P38930;P14164
Q01389;Q01389
P33204;Q12156
P43619;P43619
P39929;P53272
Q06168;P38888
Q06543;P47122
Q12030;Q03750
P53935;P53829
P38276;P38276
P53184;P53184
P38191;P53039
P38204;P47132
P53633;P53633
Q01389;P32490
P53147;Q99181
Q06708;Q05791
P43607;Q07623
P40539;P38763
Q06411;P36118
Q12493;Q06162
P38874;Q04868
P25293;P53939
Q08786;Q06096
P38957;P40455
P40565;P46947
P46948;Q05636
O13565;P47821
P26343;Q12318
P32381;Q05933
P41832;Q01389
P54999;Q06333
P36068;P47049
P53949;P53965
Q08977;P40460
P53171;P47012
Q02804;P36125
P22137;P38856
Q12415;P32367
P32325;P22216
P32521;P39013
P38304;P19659
Q06160;P06784
P23561;P08539
P80428;P02309
P20050;P14291
P38229;P32917
P18851;P40528
P09959;P39678
P32389;Q12041
P38523;P35191
P52918;P36161
P32499;P52918
P32494;P32569
P48582;Q01389
P32389;P17106
P02293;P18480
P30771;P05453
P52918;P52891
P29366;P38041
P39969;P29366
P29366;P11433
P29366;P21268
P29366;P13856
P22804;P22804
P25385;P22804
P20606;P22804
P15303;P22804
P22804;P40482
P25385;P20606
P25385;P22214
P15303;P25385
P32910;P29056
P32367;P29056
P41695;P26449
P39935;P12962
Q06675;P17106
P40517;P33331
P32601;P38555
P38555;P53039
Q04338;P36015
P36015;Q12255
P36015;P32912
P25491;P13365
P25491;P31539
P25655;P34909
P06102;P34909
Q12514;P34909
P06242;P37366
Q12263;P32468
P04821;P02829
P04821;P04821
P01120;P04821
P11927;P06704
P38692;P06704
P39935;P07260
P07260;P04147
P25655;P06100
P06102;P25655
P25655;Q12514
P07834;Q12018
P14682;P07834
Q08446;P07834
P09119;P07834
P37370;Q12446
P37370;P36006
P23595;Q00362
P54784;P09119
P32833;P09119
P54790;P09119
P09119;P50874
P38826;P09119
P32325;P06243
P29469;P06243
P39001;P21190
P39001;P38615
P22579;P39001
P52488;P29468
P52488;P53044
P53378;P32380
Q01159;O13297
P04050;Q01159
P04050;O13297
P06786;P25644
P32497;P38431
P39935;P04147
P13393;Q03761
P46677;Q03761
P53731;P06787
P22517;P06787
P14747;P06787
P06787;P07273
P06787;Q12280
P06787;P19524
P46677;P03069
P38431;P09064
P25302;Q00772
P09959;Q00772
P47103;P02829
P05453;P31539
P30822;P49687
P20676;P30822
P48837;P30822
Q02199;P30822
P49686;P30822
P40477;P30822
P30822;P21827
P19880;P30822
P41920;P30822
P53830;Q07350
P18963;P08678
P08678;P04821
P08678;P01120
P08678;P17555
P40484;P22204
P32325;P32562
P29469;P32325
Q08949;Q02574
P48581;Q08949
P39517;P39008
P38859;P26793
P11433;P21268
P21268;P20437
P13365;P21268
P20459;P32501
P09064;P09032
P32501;P09064
P41895;Q03254
P04385;P04387
Q12321;P19659
Q12343;P19659
P19659;P38782
Q08278;P19659
P19659;P40356
P19263;P19659
P19659;P25046
P19659;P32259
P34162;P19659
P32569;P19659
P19659;P32585
P19659;P47822
P19659;P25648
P04050;P19659
P19659;P36100
P19659;P36145
P23201;P06784
P52488;Q06624
P16649;P16649
Q04739;P46954
P12754;P09032
P09032;P32501
P09032;P32502
P14741;P09032
P12754;P32501
P14741;P32501
P43535;P33892
P15442;P15442
P15442;P02829
P32774;P32773
Q02629;Q12315
P49686;Q12315
P20449;Q12315
Q12315;P40477
P23202;P18494
P08539;P11972
P24814;Q12018
Q08273;P24814
P02309;P02293
Q03330;P02309
P02309;Q12341
P02309;P39984
P16649;P02309
P32479;P18480
P32485;Q03213
P08018;P32485
P32485;P29461
P40048;P32485
P29461;Q00772
Q00772;P40048
P20050;P20050
P38217;Q99383
P30771;Q99383
P25298;Q99383
Q99383;P25299
P10961;P28006
P38229;P28006
P40460;Q04477
P40036;P38229
P31539;P31539
P02829;P06101
P28707;P02829
P02829;P32854
P23561;P02829
P15705;P02829
Q04477;P25344
P04807;P04807
P32634;P32917
P32917;P32917
P32917;P25344
P32917;P53298
P11433;P18851
P13574;Q03063
P41697;P23561
Q06706;P08518
Q02908;Q06706
Q06706;P42935
Q06706;P16370
P20433;Q06706
Q06706;P20434
Q06706;P04050
P20435;Q06706
P21190;P21190
Q05166;Q06142
Q06142;P32836
P40457;Q06142
P33331;Q06142
Q02629;Q06142
Q02630;Q06142
P49687;Q06142
P20676;Q06142
Q06142;P48837
P16474;P16474
P00729;P16474
P14906;P16474
P17119;Q12045
P08518;P06242
P06242;P04050
P06242;Q03290
P11972;P39016
Q08963;P21374
P40567;Q08963
P08638;P08638
P10507;P11914
P39678;P38889
P11746;P11746
P07249;P11746
P05085;P11746
P11746;P07250
P07249;P05085
P07250;P07249
P39001;P07249
P39001;P05085
Q08032;P29469
P29496;P29469
P32354;P29469
P29469;P29469
P29469;P24279
P24279;P29496
P32354;P24279
P24279;P24279
P32354;P38132
P32944;P39014
P32389;P39014
P39014;Q12018
P40573;P32389
P38523;P38523
P06782;P27705
P24583;P32490
Q00772;P32490
P23201;P32490
P32490;Q06160
Q07980;P38920
Q12083;P38920
P38920;P25847
P14242;P38920
P38920;P15873
P15873;Q07980
P32333;P13393
P32829;P12753
P32829;P33301
P15705;P28707
Q12328;P32830
P25847;P25336
P25847;Q03834
P06838;P25847
P25847;P28519
P06777;P25847
P06839;P25847
P25847;Q00578
P25336;Q03834
Q12175;P40965
P33334;Q12186
P52918;P27705
P34077;P52918
P52918;Q02630
P49687;P52918
P13433;P14908
P08964;P08964
P23561;P23201
P23561;Q06160
P23561;P23561
Q02794;P06782
Q02794;P13393
P32915;P35179
Q03125;P14922
P06839;Q04673
Q04673;P32776
Q07084;P53599
P30771;P30771
P30771;P24783
P30771;P53550
P38798;P30771
P38861;P30771
Q12129;P30771
P46970;P30771
Q00916;P30771
P18410;P38757
P32494;P34162
P47822;P32494
P46677;P32494
P40457;P34077
P34077;P14907
Q02199;P34077
P34077;P48837
P52593;P34077
P47054;P34077
P34077;P32337
P14291;P38798
P38798;P53628
P38798;P38904
P38346;P38798
P38798;P36103
Q12514;P06102
P14907;Q02199
P14907;P33418
P14907;P33331
P40368;P14907
P14907;P32337
P46674;P14907
P14907;Q04175
P33331;P32836
P49687;P33331
P33331;P20676
P40573;P17106
P38856;P32521
P18851;P21268
P38696;P36224
P25847;P39875
P52918;P40368
P40482;P25385
P16521;P02994
P38798;P48412
P46970;P07273
P04386;P19659
Q04839;Q12315
P32480;P18480
P30665;P32354
P32829;P32829
P52918;P52593
Q04673;Q04673
P34077;P39685
P07273;P04050
